"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
1,CA-A CANCER JOURNAL FOR CLINICIANS,"39,917",292.278,0.093580
2,NEW ENGLAND JOURNAL OF MEDICINE,"347,450",74.699,0.661800
3,Nature Reviews Materials,"12,657",71.189,0.052880
4,NATURE REVIEWS DRUG DISCOVERY,"33,156",64.797,0.049210
5,LANCET,"256,200",60.390,0.437870
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"46,309",55.470,0.082330
7,Nature Reviews Clinical Oncology,"12,384",53.276,0.036020
8,NATURE REVIEWS CANCER,"52,054",53.030,0.066090
9,CHEMICAL REVIEWS,"200,019",52.760,0.271580
10,Nature Energy,"17,747",46.495,0.067320
11,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"158,632",45.540,0.290490
12,REVIEWS OF MODERN PHYSICS,"51,123",45.049,0.051800
13,CHEMICAL SOCIETY REVIEWS,"150,706",42.846,0.229610
14,NATURE,"767,246",42.779,1.217140
15,SCIENCE,"699,875",41.846,1.023100
16,Nature Reviews Disease Primers,"7,567",40.689,0.032350
17,World Psychiatry,"6,486",40.595,0.017150
17,World Psychiatry,"6,486",40.595,0.017150
19,NATURE REVIEWS IMMUNOLOGY,"42,168",40.358,0.068440
20,NATURE MATERIALS,"99,502",38.663,0.158590
21,CELL,"258,182",38.637,0.565100
22,NATURE BIOTECHNOLOGY,"63,979",36.553,0.156740
23,NATURE MEDICINE,"85,221",36.130,0.168870
24,Living Reviews in Relativity,"3,074",35.429,0.005080
25,Nature Reviews Chemistry,"3,209",34.953,0.014000
26,NATURE REVIEWS MICROBIOLOGY,"32,030",34.209,0.052210
27,LANCET ONCOLOGY,"53,592",33.752,0.143640
28,NATURE REVIEWS NEUROSCIENCE,"42,808",33.654,0.055460
29,NATURE REVIEWS GENETICS,"37,394",33.133,0.070330
30,Annual Review of Astronomy and Astrophysics,"12,448",33.000,0.015720
31,JOURNAL OF CLINICAL ONCOLOGY,"155,297",32.956,0.262330
32,PROGRESS IN MATERIALS SCIENCE,"17,409",31.560,0.020950
33,Nature Nanotechnology,"65,923",31.538,0.140900
34,Nature Photonics,"45,057",31.241,0.100340
35,NATURE METHODS,"72,486",30.822,0.205760
36,Nature Catalysis,"3,787",30.471,0.014080
37,BMJ-British Medical Journal,"118,585",30.313,0.145370
38,Energy & Environmental Science,"86,899",30.289,0.159110
39,LANCET NEUROLOGY,"33,050",30.039,0.062480
40,Nature Reviews Gastroenterology & Hepatology,"10,284",29.869,0.024500
41,Cancer Discovery,"18,093",29.497,0.069350
42,Joule,"7,755",29.155,0.023510
43,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"12,727",28.938,0.010510
44,Nature Reviews Endocrinology,"10,470",28.800,0.025380
45,NATURE GENETICS,"97,384",27.605,0.208050
46,Nature Electronics,"1,927",27.500,0.007870
47,ADVANCED MATERIALS,"264,939",27.398,0.485370
48,Nature Reviews Neurology,"11,029",27.000,0.028800
49,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"7,964",26.625,0.005680
50,CANCER CELL,"41,065",26.602,0.095510
51,Materials Today,"15,572",26.416,0.022250
52,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"28,868",25.809,0.030040
53,Annual Review of Biochemistry,"20,499",25.787,0.024800
54,PHYSIOLOGICAL REVIEWS,"28,713",25.588,0.024010
55,Lancet Diabetes & Endocrinology,"9,533",25.340,0.041640
56,Advanced Energy Materials,"67,558",25.245,0.169210
57,Lancet Respiratory Medicine,"9,113",25.094,0.039600
58,JAMA Oncology,"13,794",24.799,0.064710
59,LANCET INFECTIOUS DISEASES,"25,163",24.446,0.077630
60,IEEE Communications Surveys and Tutorials,"18,995",23.700,0.041030
61,CIRCULATION,"158,218",23.603,0.205380
62,EUROPEAN HEART JOURNAL,"59,968",22.673,0.140830
63,PROGRESS IN POLYMER SCIENCE,"26,874",22.620,0.018990
64,CLINICAL MICROBIOLOGY REVIEWS,"19,987",22.556,0.019640
65,IMMUNITY,"54,819",22.553,0.124090
66,Nature Chemistry,"35,223",21.687,0.082880
67,Lancet Global Health,"9,165",21.597,0.044860
67,Lancet Global Health,"9,165",21.597,0.044860
69,Cell Metabolism,"39,581",21.567,0.097440
70,REVIEWS OF GEOPHYSICS,"12,599",21.449,0.013570
71,ANNALS OF INTERNAL MEDICINE,"58,033",21.317,0.091350
72,Nature Climate Change,"27,080",20.893,0.089200
72,Nature Climate Change,"27,080",20.893,0.089200
74,Cell Stem Cell,"26,471",20.860,0.078190
75,PSYCHOLOGICAL BULLETIN,"52,569",20.838,0.027120
75,PSYCHOLOGICAL BULLETIN,"52,569",20.838,0.027120
77,ACCOUNTS OF CHEMICAL RESEARCH,"72,742",20.834,0.122170
78,Nature Reviews Nephrology,"6,911",20.711,0.019640
79,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"101,927",20.589,0.193510
80,JOURNAL OF HEPATOLOGY,"42,177",20.582,0.082130
81,CELL RESEARCH,"16,237",20.507,0.037710
82,NATURE IMMUNOLOGY,"44,709",20.479,0.081850
83,Nature Reviews Cardiology,"7,100",20.260,0.021160
84,NATURE NEUROSCIENCE,"62,932",20.071,0.144580
85,NATURE CELL BIOLOGY,"41,904",20.042,0.077260
86,Living Reviews in Solar Physics,"1,424",20.000,0.002830
87,Annual Review of Immunology,"17,080",19.900,0.019280
88,GUT,"46,583",19.819,0.071410
89,Chem,"7,022",19.735,0.024620
90,Annual Review of Physiology,"9,466",19.556,0.010190
91,Annual Review of Plant Biology,"20,410",19.540,0.015110
92,Nature Physics,"37,113",19.256,0.115340
93,ACS Energy Letters,"18,351",19.003,0.059780
94,Nature Biomedical Engineering,"3,143",18.952,0.014210
95,EUROPEAN UROLOGY,"33,097",18.728,0.063130
96,Science Robotics,"1,859",18.684,0.006530
97,JAMA Internal Medicine,"17,260",18.652,0.086310
98,ANNALS OF ONCOLOGY,"45,813",18.274,0.107220
99,Psychological Science in the Public Interest,"1,590",18.250,0.002870
100,Annual Review of Psychology,"21,254",18.111,0.019510
100,Annual Review of Psychology,"21,254",18.111,0.019510
102,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,"52,888",17.861,0.065590
103,BLOOD,"165,117",17.794,0.205550
104,INTENSIVE CARE MEDICINE,"22,617",17.679,0.037510
105,JAMA Psychiatry,"13,433",17.471,0.056210
105,JAMA Psychiatry,"13,433",17.471,0.056210
107,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,914",17.452,0.085330
